1  4000	2.06169	0.00261144	2.06167	0.00261211
2  4000	1.06983	0.00278722	2.11249	0.0054307
3  4000	0.744911	0.00788683	2.18024	0.0229107
4  4000	0.597795	0.00847346	2.30888	0.033789
5  4000	0.53918	0.0104229	2.58698	0.0529807
6  4000	0.552722	0.0402091	3.18038	0.240754
7  4000	0.712024	0.00118569	4.82216	0.00865517
8  4000	0.700343	0.01843	5.41348	0.14645
9  4000	0.700089	0.0172882	6.08323	0.153171
10  4000	0.681523	0.0235114	6.56947	0.234196
11  4000	0.69674	0.0321178	7.38654	0.348011
12  4000	0.691168	0.0352673	7.91678	0.303691
13  4000	0.704549	0.0320434	8.07554	0.271568
14  4000	0.674611	0.0315843	7.71353	0.25564
15  4000	0.633615	0.0382816	7.22687	0.304137
16  4000	0.672267	0.024638	7.6702	0.143021
